id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,id_flag,host_id_flag,neighbourhood_flag,latitude_flag,longitude_flag,minimum_nights_flag,number_of_reviews_flag,last_review_flag,room_type_flag
1185749,3 Bdrm Vintage Hideaway  Little Italy/ UIC,1664593,Matt & Christy,,Near West Side,41.87086,-87.68305,Entire home/apt,214.0,32,342,2022-10-11,2.94,1.0,0.0,20.0,R22000081568,0,0,0,0,0,0,0,0,0
1195259,Wicker Park - Garden At The Heart of It All,2899484,Jason,,West Town,41.91095,-87.67783,Entire home/apt,120.0,6,205,2022-11-18,1.76,2.0,363.0,11.0,R19000037818,0,0,0,0,0,0,0,0,0
24833,Prime LincolnPark 1 Block Fullerton Express L Deck,101521,Red,,Lincoln Park,41.925961,-87.65Gbc6364,Entire home/apt,64.0,32,41,2022-11-12,0.27,3.0,362.0,3.0,City registration pending,0,0,0,0,2,0,0,0,0
3485081,Cozy coach house garden unit in wicker park.,11848299,Anton,,West Town,41.90711,-87.68219,Private room,112.0,3,180,2021-10-12,1.76,2.0,0.0,0.0,R17000014102,0,0,0,0,0,0,0,0,0
71930,"Rest, Relax and Explore",334241,Michael And Veronica,,West Town,41.89615,-87.67934,Private room,75.0,3,97,2022-11-16,0.69,2.0,241.0,16.0,R17000013986,0,0,0,0,0,0,0,0,0
1361421,Wrigley Hostel - Queen Bed Room,7391164,Wrigley Hostel,,Lake View,41.9459,-87.65461,Private room,121.0,32,42,2021-05-23,0.39,5.0,147.0,0.0,R20000058693,0,2,0,0,0,0,0,0,0
94450,Comfy Garden Suite in Andersonville,504470,Mark,,Edgewater,41.97804,-87.66494,Entire home/apt,84.0,14,7,2022-12-01,1.39,1.0,172.0,7.0,R22000082956,0,0,0,0,0,0,0,0,0
3570616,1 Bedroom Victorian Beauty at Logan Square!,3920450,Vas,,Logan Square,41.92925,-87.71824,Entire home,60.0,32,152,2022-10-30,1.49,4.0,304.0,5.0,,0,0,0,0,0,0,0,0,1
189821,"Best in Chicago, private, amazing garden space",899757,Meighan,,Logan Square,41.92918,-87.70219,Entire home/apt,236.0,3,59q5,2022-11-28,4.34,1.0,253.0,28.0,R21000062936,0,0,0,0,0,0,1,0,0
3638744,Chicago Suite 1BR/1BA (3709-G2),837429,Petru,,Albany Park,41.96187,-87.71997,Entire home/apt,69.0,32,46,2022-12-01,0.46,1.0,7.0,7.0,R17000014762,0,0,0,0,0,0,0,0,0
1488883,Private Room & Bath | Beautiful Apt,517499,Derek,,Lake View,41.95407,-87.65389,Private room,75.0,3,48,2021-11-16,0.43,1.0,27.0,0.0,R21000073886,0,0,0,0,0,0,0,0,0
3639045,Modern suite in Victorian Garden setting.,8607123,Grainne,,West Ridge,4i1.9973S9,-87.67507,Entire home/apt,80.0,60,5,2020-10-03,0.1,2.0,356.0,0.0,R17000015507,0,0,0,1,0,0,0,0,0
207351,Pullman Art Studio - One Person - Monthly Rental,1019125,Jb,,Pullman,4sc1.68909,-87.6088,Entire home/apt,50.0,32,44,2022-01-30,0.32,3.0,126.0,1.0,R21000073121,0,0,0,1,0,0,0,0,0
1554433,Charming Home in Chicago,6088938,EriV,,Beverly,41.71348,-87.67195,Private room,49.0,2,199,2022-12-17,1.76,2.0,344.0,22.0,R17000013891,0,1,0,0,0,0,0,0,0
233933,Lovely Bedroom 3 in a New Renovated Apartment,1224828,Tippi,,Irving Park,41.95602,-87.72781,Private room,60.0,2,155,2022-11-21,1.14,2.0,238.0,2.0,R17000015589,0,0,0,0,0,0,0,0,0
250354,Close to Michigan Ave and parks,1311953,Ronald,,Near South Side,4H1P.86051,B-87mM62399,Entire home/apt,170.0,180,39,2018-04-25,0.29,1.0,358.0,0.0,City registration pending,0,0,0,1,2,0,0,0,0
1584422,Magic Factory Loft 2West Spacious Bright,2810938,Carole,,Near North Side,41.90607,-87.6488,Entire home/apt,255.0,3,37,2022-11-06,0.33,3.0,327.0,7.0,2555923,0,0,0,0,0,0,0,0,0
3666681,NEW ULTRA LUXURY CONDO RIVER-NORTH Roof-Top Pool,3965428,Rob,,Near North Side,41.88975,-87.63425,Entire home/apt,170.0,90,14,2019-09-11,0.14,71.0,365.0,0.0,City registration pending,0,0,0,0,0,0,0,0,0
258253,Studio Apartment Unit 4,1358243,June,,West Ridge,42Aj.00692,-87.68438,Entire home/apt,48.0,33,29,2022-10-01,0.22,2.0,346.0,5.0,398144   Chicago:   R190000050938,0,0,0,1,0,0,0,0,0
1614802,"Contemporary, private suite w fireplace",8595700,Carin,,Lake View,41.93455,-87.66141,Private room,65.0,4,321,2022-11-26,3.04,1.0,234.0,30.0,R17000014283,0,0,0,0,0,0,0,0,0
1620098,Bedroom + apartment in Lincoln Park,8619275,Leszek,,Lincoln Park,41.92801,-87nIO64443,Private room,138.0,1,56,2022-11-06,0.5,1.0,89.0,21.0,R22000079040,0,0,0,0,2,0,0,0,0
289884,"Rad, Sunny, Mid-Century House w/ Parking & Laundry",1500490,Hailey,,Logan Square,41.92063,-87.68353,Entire home/apt,315.0,1,101,2022-11-24,0.79,1.0,90.0,20.0,R21000075554,0,0,0,0,0,0,0,0,0
3761023,"Free parking, close to public transit, dining",14015437,Andrew &  Diane,,Bridgeport,41.83514,-87.64774,Entire home/apt,75.0,2,72,2022-11-21,0.91,1.0,0.0,14.0,R17000015662,0,0,0,0,0,0,0,0,0
