id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,id_flag,host_id_flag,neighbourhood_flag,latitude_flag,longitude_flag,minimum_nights_flag,number_of_reviews_flag,last_review_flag,room_type_flag
2384,Hyde Park - Walk to UChicago,2613,Rebecca,,Hyde Park,41.7879,-87.5878,Private room,84,3,211,2022-11-18,2.18,1,365,19,R17000015609,0,0,0,0,0,0,0,0,0
7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,,WdfK LVqyWsWMxjqAPRdeNsxOJt yQTXoNwn,41.90289,-87.68182,Entire home/apt,85,2,475,2022-12-05,2.9,1,325,45,R21000075737,0,0,0,0,0,0,0,0,0
28749,Quirky Bucktown Loft w/ Parking NO PARTIES,27506,Lauri,, RtcpFoUUYYhGLYOYM FruLoXQgaaydDHManT SqoeNyuare,41.92082,-87.68012,Entire home/apt,147,2,164,2022-12-04,1.12,1,337,38,R22000079930,0,0,0,0,0,0,0,0,0
37738,Andersonville - Perfect location!,162364,Mat And Randy,,Uptown,41.9729,-87.66538,Private room,110,3,2x50,2020-03-15,1.65,2,0,0,R20000059426,0,0,0,0,0,0,0,0,0
71930,"Rest, Relax and Explore",334241,Michael And Veronica,,West Town,41.89615,-87.67934,Private room,75,3,97,2022-11-16,0.69,2,241,16,R17000013986,0,0,0,0,0,0,0,0,0
84042,The Explorer Room,334241,Nichael AFdIVdronic ,,West Town,41.89615,-87.67934,Private room,75,3,123,2022-10-24,0.87,2,83,29,R17000013986,0,0,0,0,0,0,0,0,0
94450,Comfy Garden Suite in Andersonville,504470,Mark,,Edgewater,41.97804,-87.66494,Entire home/apt,84,14,7,2022-12-01,1.39,1,172,7,R22000082956,0,0,0,0,0,0,0,0,0
145659,Trendy Roscoe Village 3BR/2BR walk to shops,683529,Joe,,North Center,41.94342,-87.68121,Entire home/apt,205,2,57,2022-11-28,0.65,22,357,13,2209272,0,0,0,0,0,0,0,0,0
189821,"Best in Chicago, private, amazing garden space",899757,Meighan,,Logan Square,41.92918,-87.70219,Entire home/apt,236,3,595,2022-11-28,4.34,1,253,28,R21000062936,0,0,0,0,0,0,0,0,0
233933,Lovely Bedroom 3 in a New Renovated Apartment,1224828,Tippi,,Irving Park,41.95602,-87.72781,Private room,60,2,155,2022-11-21,1.14,2,238,2,R17000015589,0,0,0,0,0,0,0,0,0
250354,Close to Michigan Ave and parks,1311953,Ronald,,Near South Side,41.86051,-87.62399,Entire home/apt,170,180,39,2018-04-25,0.29,1,358,0,City registration pending,0,0,0,0,0,0,0,0,0
258253,Studio Apartment Unit 4,1358243,June,,aKFrEIGyjHnNCBdhadDULWMee fsdtXfRo Ridge,42.00692,-87.68438,Entire home/apt,48,33,29,2022-10-01,0.22,2,346,5,398144   Chicago:   R190000050938,0,0,0,0,0,0,0,0,0
289689,"29 Day+ Med student, interns & interim stays.",1376077,Killian,,Edgewater,41.97794,-87.65764,Private room,32,30,66,2022-08-06,0.49,1,170,2,R21000062931,0,0,0,0,0,0,0,0,0
289884,"Rad, Sunny, Mid-Century House w/ Parking & Laundry",1500490,Hailey,, UXFcJTOuaTLLdhiYVHFLAWTtKgkogrhaBtaMnS RSCquare,41.92063,-8768353,Entire home/apt,315,1,101,2022-11-24,0.79,1,90,20,R21000075554,0,0,0,0,0,0,0,0,0
290155,15 Minutes to Everything.  Skyline View. Quiet.,1505878,Bob,,Bridgeport,41.82702,-87.63967,Entire home/apt,130,32,50,2020-03-17,0.38,2,0,0,2074659,0,0,0,0,0,0,0,0,0
312192,Winter Specials. You'll love this apartment.,1505878,Bob,,fpBgfbtOqDhmWYbdupnbkyqarPRUiiPvdrgeport,41.82741,-87.63934,Apartment,146,32,39,2020-03-15,0.4,2,0,0,2074660,0,0,0,0,0,0,0,0,0
349265,Historic Chicago Home - Hyde Park,1517871,Jon,,Hyde Park,41.80086,-87.58948,Entire home/apt,449,32,9,2022-06-08,0.07,1,362,1,R18000030216,0,0,0,0,0,0,0,0,0
372929,Lux Urban 3BR/3BA Duplex + Parking!,1876597,Thd mdvbnturers,,West Town,41.89862,-87.65597,Entire home/apt,255,2,270,2022-12-11,2.19,2,339,33,2510875,0,0,0,0,0,0,0,0,0
404792,Eclectic West Town 2BR w/ Vintage Charm,1844352,Christine,,West Town,41.88913,-8766763,Entire home/apt,116,3,209,2022-11-27,1.64,1,63,13,R18000024694,0,0,0,0,0,0,0,0,0
450648,Luxury Space - Come & Relax,2204693,Dl,,Near South Side,41.86614,-87.62275,Private room,119,32,38,2018-06-21,0.29,1,0,0,City registration pending,0,0,0,0,0,0,0,0,0
464581,"Large, Private Logan Square Studio",2308792,Jonathan,,Logan Square,41.92451,-87.69385,Entire home/apt,47,3,644,2021-06-13,5.12,1,7,0,R17000017731,0,0,0,0,0,0,0,0,0
484898,Charming 1906 cottage Northside,2400107,Allison,,Uptown,4197053,-87.67267,Entire home/apt,230,7,17,2022-07-24,0.13,1,263,3,R17000013890,0,0,0,0,0,0,0,0,0
532862,Spacious Photo Studio / Loft in Wicker Park,2611028,Rachel And Brian,,West Town,41.91032,-87.68746185302734,Entire home/apt,175,2,61,2022-10-24,0.48,1,270,11,R22000085472,0,0,0,0,0,0,0,0,0
542067,Logan Square Modern Vintage Garden,2273840,Sarah,,Logan Square,41.93142,-87.69989,Entire home/apt,189,3,282,2022-11-28,2.21,1,360,13,R17000015045,0,0,0,0,0,0,0,0,0
585353,Great neighborhood! Price Drop *,2885441,Tracy,,West Town,41.88961,-87.66268,Private room,69,32,137,2022-09-15,1.08,6,353,3,R20000053637,0,0,0,0,0,0,0,0,0
585356,"Price Drop! Great Deal, Great area!",2885441,Tracy,,JCXIcBQrMnwCtpWHtQKesYinSqiFt HTJown,41.89003,-87.66241,Private room,90,1,157,2022-11-29,1.24,6,358,14,R20000053637,0,0,0,0,0,0,0,0,0
589939,"Recent Price Drop, awesome area!",2885441,Tracy,,West Town,41.89054,-87.66261,Shared room,69,32,67,2022-08-03,0.53,6,330,1,City registration pending,0,0,0,0,0,0,0,0,0
628149,Great for Students! Affordability+Location,2885441,Tracy,,West Town,41.89056,-87.66086,Private room,62,2,104,2022-09-19,0.83,6,329,5,R20000053637,0,0,0,0,0,0,0,0,0
634310,The Stained Glass Apt. Edgewater #1,2915265,Felice,,Edgewater,41.99667,-87.66213,Private room,70,2,109,2022-09-11,0.87,2,350,22,R18000034164,0,0,0,0,0,0,0,0,0
651742,Edgebrook Lg bdr by golf course,2824576,Jeff,,Forest Glen,41.99244,-87.75569,Private room,70,2,91,2022-11-12,0.76,2,329,15,R21000075759,0,0,0,0,0,0,0,0,0
651742,Edgebrook Lg bdr by golf course,2824576,Jeff,,Forest Glen,41.99244,-87.75569,Private room,70,2,91,2022-11-12,0.76,2,329,15,R21000075759,0,0,0,0,0,0,0,0,0
662034,Edgebrook bdr by golf course,2824576,Jeff,,Forest Glen,4199201,-87.75719,Private room,65,2,84,2022-11-26,0.74,2,328,11,City registration pending,0,0,0,0,0,0,0,0,0
724895,Close to Chicago music Fest! (Students discount),2885441,Tracy,,West Town,41.88999,-87.66096,Private room,62,32,136,2022-07-25,1.1,6,363,1,R20000053637,0,0,0,0,0,0,0,0,0
727847,Palmer Treehouse - Bedroom 2,62150,AnnP,,Logan Square,41.92255,-87.70293,Private room,70,t32,74,2022-03-20,0.6,3,363,1,City registration pending,0,0,0,0,0,0,0,0,0
755701,3 Bedroom Victorian Beauty at Logan Square,3920450,Sas,,KvcaWlruhHSuLReMaNYpFmwfiwLwdJpVWsVofganp Square,41.92993,-87.71893,Entire home/apt,68,32,27,2022-12-01,0.23,4,111,3,City registration pending,0,0,0,0,0,0,0,0,0
790934,06. Pullout sofa bed in common room,2907254,Joe,,West Ridge,42.01653,-87.68788,Shared room,135,1,139,2020-02-03,1.13,17,0,0,R21000075752,0,0,0,0,0,0,0,0,0
903996,Private Entrance/Steam Room Ensuite,4019426,Colleen,,Logan Square,41.92649,-87.7138,Private room,110,32,145,2020-03-19,1.25,1,1,0,R17000015433,0,0,0,0,0,0,0,0,0
931105,Modern Guest Bedroom Room in Designers House,5015135,Samantha,,East Garfield Park,41.88449,-87.69659,Private room,136,5,23,2018-11-02,0.2,1,362,0,R17000015264,0,0,0,0,0,0,0,0,0
949514,Modern Loft-Style Pad in Wicker!,5148353,Steven,,West Town,41.90677,-87.66788,Private room,50,32,133,2020-03-02,1.11,1,0,0,R17000017886,0,0,0,0,0,0,0,0,0
960326,Stay in a Designer Penthouse with Art Gallery,5228189,Matthew,,West Town,4189505,-8765449,Entire home/apt,237,1,370,2022-11-28,3.18,21,350,40,2457501,0,0,0,0,0,0,0,0,0
979841,"Huge Victorian near Loyola, Lake #1",5076708,LrBs Anj Eduacko,,Rogers Park,42.00498,-87.66712,Private room,89,2,271,2022-11-12,2.3,4,365,39,R17000015436,0,0,0,0,0,0,0,0,0
979926,"Huge Victorian near Loyola, Lake #2",5076708,Lois And Eduardo,,Rogers Park,42.00623,-87.66794,Private room,79,2,302,2022-12-04,2.58,4,365,35,R17000015436,0,0,0,0,0,0,0,0,0
979942,"Huge Victorian near Loyola, Lake #3",5076708,Lois And Eduardo,,XTkimuGdnHORishPdCuVOfoLEybeLCgrcJersr Pahrk,42.00426,-8766693,Private room,79,2,283,2022-11-06,2.4,4,355,28,R17000015436,0,0,0,0,0,0,0,0,0
979942,"Huge Victorian near Loyola, Lake #3",5076708,Lois And Eduardo,,XTkimuGdnHORishPdCuVOfoLEybeLCgrcJersr Pahrk,42.00426,-8766693,Private room,79,2,283,2022-11-06,2.4,4,355,28,R17000015436,0,0,0,0,0,0,0,0,0
983640,Huge Victorian near Loyola 2bd Apt,5076708,Lois And Eduardo,,Rogers Park,42.00381,-87.67082,Entire home/apt,179,2,232,2022-11-26,2.0,4,348,30,R17000015436,0,0,0,0,0,0,0,0,0
1027405,Chicago Women's Residence/ Paris Rm,5654677,Urban Art,,South Lawndale,41.85278,-87.70853,Private room,45,2,6,2016-07-31,0.07,4,0,0,R18000034125,0,0,0,0,0,0,0,0,0
1027741,Chicago Women's Residence Midler Rm,5654677,Urban Art,,South Lawndale,41.85308,-87.70718,Private room,45,32,5,2019-10-13,0.1,4,0,0,R22000076746,0,0,0,0,0,0,0,0,0
1083987,MODERN LOFT Downtown by McCormick w/KING BED WiFi,3965428,Rob,,Near South Side,41.85278,-87.62453,Entire home/apt,140,28,2Y3,2021-06-01,0.2,71,365,0,City registration pending,0,0,0,0,0,0,0,0,0
1096191,Studio at the Lake,6023157,Nataliya,,Uptown,41.97271,-87.65236,Entire home/apt,40,7,69,2022-11-30,0.59,1,248,20,R19000050458,0,0,0,0,0,0,0,0,0
1195259,Wicker Park - Garden At The Heart of It All,2899484,Jason,,West Town,41.91095,-87.67783,Entire home/apt,120,6,205,2022-11-18,1.76,2,363,11,R19000037818,0,0,0,0,0,0,0,0,0
1356190,Logan Square Vintage Deluxe Private Suite & Bath,3069675,Gabrielle,,Logan Square,41.92083,-87.68896,Private room,93,3,384,2022-11-20,3.41,1,310,49,R17000015398,0,0,0,0,0,0,0,0,0
1392594,"Bright open house, garden & deck",7528098,Eileen,,Uptown,41.96952,-87.67239,Apartment,175,4,27,2022-10-10,0.24,1,166,3,R22000079042,0,0,0,0,0,0,0,0,0
1417110,Lovely 2 bedroom with parking close to Clark St,7622794,Leah,,PT FKxEJbStURksYVWptowxn,41.97555,-87.67409,Entire home/apt,100,32,0,,,1,0,0,,0,0,0,0,0,0,0,0,0
1461451,02b. Twin bed in Coed Space,2907254,Joe,,West Ridge,42.01653,-87.68788,Shared room,19,1,178,11/16/22,1.56,17,164,12,R21000075752,0,0,0,0,0,0,0,0,0
1554433,Charming Home in Chicago,6088938,Eric,,Beverly,41.71348,-87.67195,Private room,49,2,199,2022-12-17,1.76,2,344,22,R17000013891,0,0,0,0,0,0,0,0,0
1573401,Spacious & serene in hip spot. Sleeps 4.,8186262,April,,Lower West Side,41.85763,-87.66236,Private room,51,2,304,2022-12-10,5.07,2,50,72,R21000069179,0,0,0,0,0,0,0,0,0
1591370,Private Northside Chicago Apt Near Transit & Beach,8489460,Holly + Mark,,Rogers Park,42.01114,-87.67634,Entire home/apt,99,2,169,2022-11-24,1.5,1,353,27,R22000090320,0,0,0,0,0,0,0,0,0
1623463,East Pilsen,8463536,Maximiliano,,Lower West Side,41859,-876462,Entire home/apt,116,2,56,2022-12-17,0.82,1,74,6,R21000072963,0,0,0,0,0,0,0,0,0
1648786,,1426804,Afri,,,41.72836,-87.6136,Private room,,2,105,2022-08-01,0.93,1,349,5,R17000013914,0,0,0,0,0,0,0,0,0
1648786,Quiet Rooms2 in Quiet Neighborhood,1426804,Afri,,Chatham,41.72836,-87.6136,Private room,55,2,105,2022-08-01,0.93,1,349,5,R17000013914,0,0,0,0,0,0,0,0,0
1663673,iKlektik House // Cardinal,8813383,Mindy + Tony,,West Town,41.89322,-87.68572,Entire home/apt,98,2,355,2022-11-26,3.27,3,174,6,R22000090635,0,0,0,0,0,0,0,0,0
1668481,Cozy 2BR Apt - Humboldt Park,531832,Evan,,West Town,41.89665,-87.69719,Entire home/apt,86,3s2,116,2021-05-20,1.36,1,0,0,R18000026178,0,0,0,0,0,0,0,0,0
1668481,Cozy 2BR Apt - Humboldt Park,531832,Evan,,West Town,41.89665,-87.69719,Entire home/apt,86,3s2,116,2021-05-20,1.36,1,0,0,R18000026178,0,0,0,0,0,0,0,0,0
1721045,*Recent Price Drop! Superb location!,2885441,Tracy,,West Town,41.89003,-87.66254,Private room,80,1,115,2022-11-06,1.03,6,346,20,R20000053637,0,0,0,0,0,0,0,0,0
1759389,Casa Corazón (W) near Rush / UIC,1559157,Amanla,,Lower West Side,41.84801,-87.68127,Private room,82,2,139,2022-11-28,1.24,3,233,10,R20000054162,0,0,0,0,0,0,0,0,0
1837153,Musician's Quarters,9601147,Chester,,nQnvRmTGIVGLaUbPuXlHdSlgCHnyTde Park,41.79963,-87.59477,Entire home/apt,115,32,57,2022-08-31,0.52,1,365,1,City registration pending,0,0,0,0,0,0,0,0,0
1921670,The Avondale Garden Unit,9959757,Jedidiah,,Avondale,41.94663,-87.70783,Apartment,66,2,281,2022-12-17,2.94,7,272,13,R18000036958,0,0,0,0,0,0,0,0,0
