,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,id_flag,host_id_flag,neighbourhood_flag,latitude_flag,longitude_flag,minimum_nights_flag,number_of_reviews_flag,last_review_flag,room_type_flag
0,2384,Hyde Park - Walk to UChicago,2613,Rebecca,,Hyde Park,41.7879,-87.5878,Private room,84.0,3,211,2022-11-18,2.18,1,365,19,R17000015609,0,0,0,0,0,0,0,0,0
1,7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,,West Town,41.90289,-8768182.0,Entire home/apt,85.0,2,475,2022-12-05,2.9,1,325,45,R21000075737,0,0,0,0,1,0,0,0,0
2,28749,Quirky Bucktown Loft w/ Parking NO PARTIES,27506,Lauri,,Logan Square,41.92082,-87.68012,Entire home/apt,147.0,2,164,2022-12-04,1.12,1,337,38,R22000079930,0,0,0,0,0,0,0,0,0
3,37738,Andersonville - Perfect location!,162364,Mat And Randy,,Uptown,41.9729,-87.66538,Private room,110.0,3,250,2020-03-15,1.65,2,0,0,R20000059426,0,0,0,0,0,0,0,0,0
4,71930,"Rest, Relax and Explore",334241,Michael And Veronica,,West Town,41.89615,-87.67934,Private room,75.0,3,97,2022-11-16,0.69,2,241,16,R17000013986,0,2,0,0,0,0,0,0,0
5,84042,The Explorer Room,334241,Nichael AFdIVdronic ,,West Town,41.89615,-87.67934,Private room,75.0,3,123,2022-10-24,0.87,2,83,29,R17000013986,0,2,0,0,0,0,0,0,0
6,94450,Comfy Garden Suite in Andersonville,504470,Mark,,Edgewater,41.97804,-87.66494,Entire home/apt,84.0,14,7,2022-12-01,1.39,1,172,7,R22000082956,0,0,0,0,0,0,0,0,0
7,145659,Trendy Roscoe Village 3BR/2BR walk to shops,683529,Joe,,North Center,41.94342,-87.68121,Entire home/apt,205.0,2,57,2022-11-28,0.65,22,357,13,2209272,0,2,0,0,0,0,0,0,0
8,189821,"Best in Chicago, private, amazing garden space",899757,Meighan,,Logan Square,41.92918,-8770219.0,Apartment,236.0,3,595,2022-11-28,4.34,1,253,28,R21000062936,0,0,0,0,1,0,0,0,1
9,233933,Lovely Bedroom 3 in a New Renovated Apartment,1224828,Tippi,,Irving Park,41.95602,-87.72781,Private room,60.0,2,155,2022-11-21,1.14,2,238,2,R17000015589,0,0,0,0,0,0,0,0,0
10,250354,Close to Michigan Ave and parks,1311953,Ronald,,Near South Side,41.86051,-87.62399,Entire home/apt,170.0,180,39,2018-04-25,0.29,1,358,0,City registration pending,0,0,0,0,0,0,0,0,0
11,258253,Studio Apartment Unit 4,1358243,June,,West Ridge,42.00692,-87.68438,Entire home/apt,48.0,33,29,2022-10-01,0.22,2,346,5,398144   Chicago:   R190000050938,0,0,0,0,0,0,0,0,0
12,289689,"29 Day+ Med student, interns & interim stays.",1376077,Killian,,Edgewater,41.97794,-87.65764,Private room,32.0,30,66,2022-08-06,0.49,1,170,2,R21000062931,0,0,0,0,0,0,0,0,0
13,289884,"Rad, Sunny, Mid-Century House w/ Parking & Laundry",1500490,Hailey,,Logan Square,41.92063,-87.68353,Entire home/apt,315.0,1,101,2022-11-24,0.79,1,90,20,R21000075554,0,0,0,0,0,0,0,0,0
14,290155,15 Minutes to Everything.  Skyline View. Quiet.,1505878,Bob,,Bridgeport,41.82702,-87.63967,Entire home/apt,130.0,32,50,2020-03-17,0.38,2,0,0,2074659,0,0,0,0,0,0,0,0,0
15,312192,Winter Specials. You'll love this apartment.,1505878,Bob,,Bridgeport,4182741.0,-87.63934,Entire home/apt,146.0,32,39,2020-03-15,0.4,2,0,0,2074660,0,0,0,1,0,0,0,0,0
16,349265,Historic Chicago Home - Hyde Park,1517871,Jon,,Hyde Park,41.80086,-87.58948,Entire home/apt,449.0,32,9,2022-06-08,0.07,1,362,1,R18000030216,0,0,0,0,0,0,0,0,0
17,372929,Lux Urban 3BR/3BA Duplex + Parking!,1876597,Thd mdvbnturers,,West Town,41.89862,-87.65597,Entire home/apt,255.0,2,270,2022-12-11,2.19,2,339,33,2510875,0,2,0,0,0,0,0,0,0
18,404792,Eclectic West Town 2BR w/ Vintage Charm,1844352,Christine,,West Town,41.88913,-87.66763,Apartment,116.0,3,209,2022-11-27,1.64,1,63,13,R18000024694,0,0,0,0,0,0,0,0,1
19,450648,Luxury Space - Come & Relax,2204693,Dl,,Near South Side,41.86614,-87.62275,Private room,119.0,32,38,2018-06-21,0.29,1,0,0,City registration pending,0,0,0,0,0,0,0,0,0
20,464581,"Large, Private Logan Square Studio",2308792,Jonathan,,Logan Square,41.92451,-87.69385,Entire home/apt,47.0,3,644,2021-06-13,5.12,1,7,0,R17000017731,0,0,0,0,0,0,0,0,0
21,484898,Charming 1906 cottage Northside,2400107,Allison,,Uptown,41.97053,-87.67267,Entire home/apt,230.0,7,17,2022-07-24,0.13,1,263,3,R17000013890,0,0,0,0,0,0,0,0,0
22,532862,Spacious Photo Studio / Loft in Wicker Park,2611028,Rachel And Brian,,West Town,41.91032,-87.68746185302734,Entire home/apt,175.0,2,61,2022-10-24,0.48,1,270,11,R22000085472,0,0,0,0,0,0,0,0,0
23,542067,Logan Square Modern Vintage Garden,2273840,Sarah,,Logan Square,41.93142,-87.69989,Entire home/apt,189.0,3,282,2022-11-28,2.21,1,360,13,R17000015045,0,0,0,0,0,0,0,0,0
24,585353,Great neighborhood! Price Drop *,2885441,Tracy,,West Town,41.88961,-87.66268,Private room,69.0,32,137,2022-09-15,1.08,6,353,3,R20000053637,0,0,0,0,0,0,0,0,0
25,585356,"Price Drop! Great Deal, Great area!",2885441,Tracy,,West Town,41.89003,-87.66241,Private room,90.0,1,157,2022-11-29,1.24,6,358,14,R20000053637,0,0,0,0,0,0,0,0,0
26,589939,"Recent Price Drop, awesome area!",2885441,Tracy,,West Town,41.89054,-87.66261,Shared room,69.0,32,67,2022-08-03,0.53,6,330,1,City registration pending,0,0,0,0,0,0,0,0,0
27,628149,Great for Students! Affordability+Location,2885441,Tracy,,West Town,41.89056,-87.66086,Private room,62.0,2,104,2022-09-19,0.83,6,329,5,R20000053637,0,0,0,0,0,0,0,0,0
28,634310,The Stained Glass Apt. Edgewater #1,2915265,Felice,,Edgewater,41.99667,-87.66213,Private room,70.0,2,109,2022-09-11,0.87,2,350,22,R18000034164,0,0,0,0,0,0,0,0,0
29,651742,Edgebrook Lg bdr by golf course,2824576,Jeff,,Forest Glen,41.99244,-87.75569,Private room,70.0,2,91,2022-11-12,0.76,2,329,15,R21000075759,0,0,0,0,0,0,0,0,0
30,651742,Edgebrook Lg bdr by golf course,2824576,Jeff,,Forest Glen,41.99244,-87.75569,Private room,70.0,2,91,2022-11-12,0.76,2,329,15,R21000075759,1,0,0,0,0,0,0,0,0
31,662034,Edgebrook bdr by golf course,2824576,Jeff,,Forest Glen,41.99201,-87.75719,Private room,65.0,2,84,2022-11-26,0.74,2,328,11,City registration pending,0,0,0,0,0,0,0,0,0
32,724895,Close to Chicago music Fest! (Students discount),2885441,Tracy,,West Town,41.88999,-87.66096,Private room,62.0,32,136,2022-07-25,1.1,6,363,1,R20000053637,0,0,0,0,0,0,0,0,0
33,727847,Palmer Treehouse - Bedroom 2,62150,AnnP,,Logan Square,41.92255,-87.70293,Private room,70.0,32,74,2022-03-20,0.6,3,363,1,City registration pending,0,1,0,0,0,0,0,0,0
34,755701,3 Bedroom Victorian Beauty at Logan Square,3920450,Sas,,Logan Square,41.92993,-87.71893,Entire home/apt,68.0,32,27,2022-12-01,0.23,4,111,3,City registration pending,0,2,0,0,0,0,0,0,0
35,790934,06. Pullout sofa bed in common room,2907254,Joe,,West Ridge,42.01653,-87.68788,Shared room,135.0,1,139,2020-02-03,1.13,17,0,0,R21000075752,0,2,0,0,0,0,0,0,0
36,903996,Private Entrance/Steam Room Ensuite,4019426,Colleen,,Logan Square,41.92649,-87.7138,Private room,110.0,32,145,2020-03-19,1.25,1,1,0,R17000015433,0,0,0,0,0,0,0,0,0
37,931105,Modern Guest Bedroom Room in Designers House,5015135,Samantha,,East Garfield Park,41.88449,-87.69659,Private room,136.0,5,23,2018-11-02,0.2,1,362,0,R17000015264,0,0,0,0,0,0,0,0,0
38,949514,Modern Loft-Style Pad in Wicker!,5148353,Steven,,West Town,41.90677,-87.66788,Private room,50.0,32,133,2020-03-02,1.11,1,0,0,R17000017886,0,0,0,0,0,0,0,0,0
39,960326,Stay in a Designer Penthouse with Art Gallery,5228189,Matthew,,West Town,41.89505,-87.65449,Entire home/apt,237.0,1,3B70,2022-11-28,3.18,21,350,40,2457501,0,0,0,0,0,0,1,0,0
40,979841,"Huge Victorian near Loyola, Lake #1",5076708,LrBs Anj Eduacko,,Rogers Park,42.00498,-87.66712,Private room,89.0,2,271,2022-11-12,2.3,4,365,39,R17000015436,0,2,0,0,0,0,0,0,0
41,979926,"Huge Victorian near Loyola, Lake #2",5076708,Lois And Eduardo,,Rogers Park,42.00623,-87.66794,Private room,79.0,2,302,2022-12-04,2.58,4,365,35,R17000015436,0,2,0,0,0,0,0,0,0
42,979942,"Huge Victorian near Loyola, Lake #3",5076708,Lois And Eduardo,,Rogers Park,42.00426,-87.66693,Private room,79.0,2,283,2022-11-06,2.4,4,355,28,R17000015436,0,2,0,0,0,0,0,0,0
43,979942,"Huge Victorian near Loyola, Lake #3",5076708,Lois And Eduardo,,Rogers Park,42.00426,-87.66693,Private room,79.0,2,283,2022-11-06,2.4,4,355,28,R17000015436,1,2,0,0,0,0,0,0,0
44,983640,Huge Victorian near Loyola 2bd Apt,5076708,Lois And Eduardo,,Rogers Park,42.00381,-87.67082,Apartment,179.0,2,232,2022-11-26,2.0,4,348,30,R17000015436,0,2,0,0,0,0,0,0,1
45,1027405,Chicago Women's Residence/ Paris Rm,5654677,Urban Art,,South Lawndale,41.85278,-87.70853,Private room,45.0,2,6,2016-07-31,0.07,4,0,0,R18000034125,0,0,0,0,0,0,0,0,0
46,1027741,Chicago Women's Residence Midler Rm,5654677,Urban Art,,South Lawndale,4185308.0,-87.70718,Private room,45.0,32,5,2019-10-13,0.1,4,0,0,R22000076746,0,0,0,1,0,0,0,0,0
47,1083987,MODERN LOFT Downtown by McCormick w/KING BED WiFi,3965428,Rob,,Near South Side,41.85278,-87.62453,Entire home/apt,140.0,28,23,2021-06-01,0.2,71,365,0,City registration pending,0,2,0,0,0,0,0,0,0
48,1096191,Studio at the Lake,6023157,Nataliya,,Uptown,41.97271,-87.65236,Apartment,40.0,7,69,2022-11-30,0.59,1,248,20,R19000050458,0,0,0,0,0,0,0,0,1
49,1195259,Wicker Park - Garden At The Heart of It All,2899484,Jason,,West Town,41.91095,-87.67783,Apartment,120.0,6,205,2022-11-18,1.76,2,363,11,R19000037818,0,2,0,0,0,0,0,0,1
50,1356190,Logan Square Vintage Deluxe Private Suite & Bath,3069675,Gabrielle,,Logan Square,41.92083,-87.68896,Private room,93.0,3,384,2022-11-20,3.41,1,310,49,R17000015398,0,0,0,0,0,0,0,0,0
51,1392594,"Bright open house, garden & deck",7528098,Eileen,,Uptown,41.96952,-87.67239,Entire home/apt,175.0,4,27,2022-10-10,0.24,1,166,3,R22000079042,0,0,0,0,0,0,0,0,0
52,1417110,Lovely 2 bedroom with parking close to Clark St,7622794,Leah,,Uptown,41.97555,-87.67409,Entire home/apt,100.0,32,0,,,1,0,0,,0,0,0,0,0,0,0,2,0
53,1461451,02b. Twin bed in Coed Space,2907254,Joe,,West Ridge,42.01653,-87.68788,Shared room,19.0,1,178,2022-11-16,1.56,17,164,12,R21000075752,0,2,0,0,0,0,0,0,0
54,1554433,Charming Home in Chicago,6088938,Eric,,Beverly,41.71348,-87.67195,Private room,49.0,2,199,2022-12-17,1.76,2,344,22,R17000013891,0,0,0,0,0,0,0,0,0
55,1573401,Spacious & serene in hip spot. Sleeps 4.,8186262,April,,Lower West Side,41.85763,-87.66236,Private room,51.0,2,304,2022-12-10,5.07,2,50,72,R21000069179,0,0,0,0,0,0,0,0,0
56,1591370,Private Northside Chicago Apt Near Transit & Beach,8489460,Holly + Mark,,Rogers Park,42.01114,-87.67634,Apartment,99.0,2,169,2022-11-24,1.5,1,353,27,R22000090320,0,0,0,0,0,0,0,0,1
57,1623463,East Pilsen,8463536,Maximiliano,,Lower West Side,41.859,-87.6462,Apartment,116.0,2,56,2022-12-17,0.82,1,74,6,R21000072963,0,0,0,0,0,0,0,0,1
58,1648786,,1426804,Afri,,Chatham,41.72836,,Private room,55.0,,105,2022-08-01,0.93,1,349,5,R17000013914,0,0,0,0,1,2,0,0,0
59,1648786,Quiet Rooms2 in Quiet Neighborhood,1426804,Afri,,Chatham,41.72836,-87.6136,Private room,55.0,2,105,2022-08-01,0.93,1,349,5,R17000013914,0,0,0,0,0,0,0,0,0
60,1663673,iKlektik House // Cardinal,8813383,Mindy + Tony,,West Town,41.89322,-87.68572,Entire home/apt,98.0,2,355,2022-11-26,3.27,3,174,6,R22000090635,0,0,0,0,0,0,0,0,0
61,1668481,Cozy 2BR Apt - Humboldt Park,531832,Evan,,West Town,4189665.0,-87.69719,Entire home/apt,86.0,32,116,2021-05-20,1.36,1,0,0,R18000026178,0,0,0,1,0,0,0,0,0
62,1668481,Cozy 2BR Apt - Humboldt Park,531832,Evan,,West Town,4189665.0,-87.69719,Entire home/apt,86.0,32,116,2021-05-20,1.36,1,0,0,R18000026178,1,0,0,1,0,0,0,0,0
63,1721045,*Recent Price Drop! Superb location!,2885441,Tracy,,West Town,41.89003,-87.66254,Private room,80.0,1,115,2022-11-06,1.03,6,346,20,R20000053637,0,0,0,0,0,0,0,0,0
64,1759389,Casa Corazón (W) near Rush / UIC,1559157,Amanla,,Lower West Side,41.84801,-87.68127,Private room,82.0,2,139,2022-11-28,1.24,3,233,10,R20000054162,0,2,0,0,0,0,0,0,0
65,1837153,Musician's Quarters,9601147,Chester,,Hyde Park,41.79963,-87.59477,Entire home/apt,115.0,32,57,2022-08-31,0.52,1,365,1,City registration pending,0,0,0,0,0,0,0,0,0
66,1921670,The Avondale Garden Unit,9959757,Jedidiah,,Avondale,41.94663,-8770783.0,Entire home/apt,66.0,2,281,2022-12-17,2.94,7,272,13,R18000036958,0,0,0,0,1,0,0,0,0
67,1944802,High Floor South Loop GYM POOL,3965428,Rob,,Near South Side,41.85453,-87.62052,Entire home/apt,200.0,140,14,2016-10-15,0.13,71,365,0,City registration pending,0,2,0,0,0,0,0,0,0
68,2011301,Bucktown - Great Northside Location,5166793,Carrie & Brad,,Logan Square,41.92118,-87.68678,Private room,50.0,1,260,2022-12-08,2.37,2,85,32,R18000037035,0,2,0,0,0,0,0,0,0
69,2062638,Downtown Urban Oasis 3BR + Huge Deck & Parking!,1876597,The Adventurers,,West Town,41.8967,-87.65734,Entire home/apt,222.0,2,192,2022-11-26,1.76,2,336,30,2510880,0,2,0,0,0,0,0,0,0
70,2139407,Urban Farm Fun!  Walk to Metra/CTA,10917550,Nicky,,Humboldt Park,41.88876,-87.70858,Entire home/apt,79.0,1,5s22,2022-11-22,4.8,7,351,38,R22000078847,0,0,0,0,0,0,1,0,0
71,2189522,Casa Corazón (E) near Rush / UIC,1559157,Amanda,,Lower West Side,41.84828,-87.68021,Private room,82.0,2,177,2022-11-12,1.67,3,325,23,R20000054162,0,2,0,0,0,0,0,0,0
72,2320027,Distinctive wicker park attic,11848299,Anton,,West Town,41.90669,-87.68283,Entire home/apt,148.0,7,166,2022-08-20,1.54,2,0,3,R12345678901,0,0,0,0,0,0,0,0,0
73,2396340,"Unique, Handcrafted Art Gallery Condo in River West Chicago",5228189,Matthew,,West Town,4189648.0,-87.65651,Entire home/apt,192.0,1,453,2022-12-07,4.25,21,348,36,2385048,0,0,0,1,0,0,0,0,0
74,2437230,City Hideaway,7000138,Brock & Kim,,North Center,41.94264,-87.68336,Entire home/apt,308.0,2,96,2022-10-17,0.92,1,241,12,R17000013482,0,0,0,0,0,0,0,0,0
75,2459132,Conveniently Located!,12059561,Rick,,Portage Park,41.96703,-87.75087,Private room,325.0,2,67,2017-05-21,0.64,1,87,0,City registration pending,0,0,0,0,0,0,0,0,0
76,2499596,Vintage Apartment in the Heart of the Ukrainian Village,2768314,saUon,,West Town,41.90006,-87.68096,Entire home/apt,138.0,7,172,2022-12-06,1.61,3,90,11,R17000013566,0,1,0,0,0,0,0,0,0
77,2515629,"Clean, Quiet, Private Room with private bathroom",12877384,Tanya,,East Garfield Park,41.88342,-87.69618,Private room,43.0,4,158,2022-12-05,1.54,3,270,20,R21000073422,0,0,0,0,0,0,0,0,0
78,2519442,"Warm Cozy Guest Suite, Private Bath",7858620,Cynthia,,Washington Park,41.79599,-87.62355,Private room,80.0,2,102,2022-10-10,0.97,1,359,15,R17000013595,0,0,0,0,0,0,0,0,0
79,2543231,Private room near Downtown,2850286,Amado,,Lower West Side,41.8579,-87.65104,Private room,65.0,32,246,2022-09-01,2.32,1,89,8,City registration pending,0,0,0,0,0,0,0,0,0
80,2583929,Next to McCormick Desk WIFI w/ KING BED +Laundry,3965428,Rob,,Near South Side,41.8537,-87.62338,Entire home/apt,120.0,60,16,2018-06-02,0.15,71,365,0,City registration pending,0,2,0,0,0,0,0,0,0
81,2604395,"Modern 3 bed near University of Chicago, Hyde Park",2376962,Samuel,,Washington Park,417918286.0,-87.62436819999999,Entire home/apt,129.0,32,0,,,1,364,0,,0,0,0,1,0,0,0,2,0
82,2604454,Cozy Single-Family Home near University of Chicago,13339125,Greg,,Hyde Park,41.78977,-87.58916,Entire home/apt,125.0,1,103,2020-02-16,1.01,1,0,0,R17000013467,0,0,0,0,0,0,0,0,0
83,2661465,GREAT LOCATION SPECTACULAR VIEWS + BALCONY,3965428,Rob,,Loop,41.88618,-87.61888,Entire home/apt,160.0,32,25,2018-06-29,0.24,71,365,0,City registration pending,0,2,0,0,0,0,0,0,0
84,2679456,2BD Great Views Modern Luxury  w/POOL,3965428,Rob,,Near South Side,41.85211,-87.6216,Entire home/apt,200.0,120,6,2015-06-24,0.06,71,365,0,City registration pending,0,2,0,0,0,0,0,0,0
